번호	성분명(한글)	표준 영문명(INCI)	상태
124	소듐메틸스테아로일타우레이트	Sodium Methyl Stearoyl Taurate	표준명 있음
125	소듐벤조에이트	Sodium Benzoate	표준명 있음
126	소듐스테아로일글루타메이트	Sodium Stearoyl Glutamate	표준명 있음
127	소듐아세틸레이티드하이알루로네이트	Sodium Acetylated Hyaluronate	표준명 있음
128	소듐코코일글라이시네이트	Sodium Cocoyl Glycinate	표준명 있음
129	소듐파이테이트	Sodium Phytate	표준명 있음
130	소듐하이알루로네이트	Sodium Hyaluronate	표준명 있음
131	소듐하이알루로네이트크로스폴리머	Sodium Hyaluronate Crosspolymer	표준명 있음
132	솔베스-30테트라올리에이트	Sorbeth-30 Tetraoleate	표준명 있음
133	솔비탄세스퀴올리에이트	Sorbitan Sesquioleate	표준명 있음
134	솔비탄아이소스테아레이트	Sorbitan Isostearate	표준명 있음
135	솔비탄올리베이트	Sorbitan Olivate	표준명 있음
136	솔잣나무잎추출물	Cupressus Sempervirens Leaf Extract	표준명 있음
137	쇠비름추출물	Portulaca Oleracea Extract	표준명 있음
138	수레국화꽃수	Centaurea Cyanus Flower Water	표준명 있음
139	수크로오스	Sucrose	표준명 있음
140	수크로오스스테아레이트	Sucrose Stearate	표준명 있음
141	숯가루	Charcoal Powder	표준명 있음
142	스쿠알란	Squalane	표준명 있음
143	스테아릭애씨드	Stearic Acid	표준명 있음
144	스페인감초뿌리추출물	Glycyrrhiza Glabra (Licorice) Root Extract	표준명 있음
145	스피어민트추출물	Mentha Viridis (Spearmint) Extract	표준명 있음
146	시어버터	Butyrospermum Parkii (Shea) Butter	표준명 있음
147	시트랄	Citral	표준명 있음
148	시트로넬올	Citronellol	표준명 있음
149	쌀배아추출물	Oryza Sativa (Rice) Germ Extract	표준명 있음
150	쌀추출물	Oryza Sativa (Rice) Extract	표준명 있음
151	아데노신	Adenosine	표준명 있음
152	아스코빅애씨드폴리펩타이드	Ascorbic Acid Polypeptide	표준명 있음
153	아스퍼질러스발효물	Aspergillus Ferment	표준명 있음
154	아시아티코사이드	Asiaticoside	표준명 있음
155	아시아틱애씨드	Asiatic Acid	표준명 있음
156	아이비고드열매추출물	Coccinia Indica Fruit Extract	표준명 있음
157	아이소도데케인	Isododecane	표준명 있음
158	아크릴레이트/C10-30알킬아크릴레이트크로스폴리머	Acrylates/C10-30 Alkyl Acrylate Crosspolymer	표준명 있음
159	알란토인	Allantoin	표준명 있음
160	알로에베라잎즙	Aloe Barbadensis Leaf Juice	표준명 있음
161	알루미나	Alumina	표준명 있음
162	알루미늄하이드록사이드	Aluminum Hydroxide	표준명 있음
163	알지닌	Arginine	표준명 있음
164	암모늄아크릴로일다이메틸타우레이트/브이피코폴리머	Ammonium Acryloyldimethyltaurate/VP Copolymer	표준명 있음
165	약모밀추출물	Houttuynia Cordata Extract	표준명 있음
166	에우파토리아짚신나물추출물	Agrimonia Eupatoria Extract	표준명 있음
167	에칠헥실메톡시신나메이트	Ethylhexyl Methoxycinnamate	표준명 있음
168	에칠헥실살리실레이트	Ethylhexyl Salicylate	표준명 있음
169	에칠헥실트리아존	Ethylhexyl Triazone	표준명 있음
170	에틸헥실글리세린	Ethylhexylglycerin	표준명 있음
171	에틸헥실팔미테이트	Ethylhexyl Palmitate	표준명 있음
172	엑토인	Ectoin	표준명 있음
173	연필향나무오일		표준명 없음
174	오렌지오일	Citrus Aurantium Dulcis (Orange) Oil	표준명 있음
175	오리스뿌리추출물	Iris Florentina Root Extract	표준명 있음
176	옥수수배아오일	Zea Mays (Corn) Germ Oil	표준명 있음
177	옥수수전분	Zea Mays (Corn) Starch	표준명 있음
178	옥토크릴렌	Octocrylene	표준명 있음
179	올리브나무잎추출물	Olea Europaea (Olive) Leaf Extract	표준명 있음
180	올리브오일	Olea Europaea (Olive) Fruit Oil	표준명 있음
